
Number Goods: 10,  Number Bidders: 7,  Number Iterations: 2000,  Quantitaet pro Gut: 5,  Rep experiment: 10
max_utility for rounded alloc | max_utility


23 | 28.2
190 | 380
235 | 705
230 | 869
117 | 673
127 | 765
138 | 918


238 | 238
60 | 120
155 | 484
113 | 475
21 | 86.7
146 | 814
310 | 2.17e+03


135 | 145
92 | 197
131 | 424
238 | 898
145 | 661
129 | 817
121 | 799


142 | 146
93 | 195
94 | 306
195 | 724
147 | 730
191 | 1.18e+03
164 | 1.1e+03


148 | 149
238 | 474
126 | 368
134 | 502
72 | 350
84 | 523
155 | 1.17e+03


155 | 154
138 | 278
17 | 86.2
220 | 864
190 | 927
76 | 433
155 | 1.1e+03


110 | 118
158 | 331
90 | 270
125 | 514
105 | 538
225 | 1.29e+03
166 | 1.18e+03


120 | 124
184 | 351
184 | 539
56 | 220
148 | 751
164 | 1.01e+03
115 | 836


143 | 134
156 | 301
95 | 321
162 | 682
154 | 748
98 | 550
168 | 1.11e+03


198 | 198
181 | 391
121 | 327
72 | 297
107 | 563
104 | 560
172 | 1.16e+03

Number Goods: 10,  Number Bidders: 7,  Number Iterations: 2000,  Quantitaet pro Gut: 5,  Rep experiment: 10
max_utility for rounded alloc | max_utility


191 | 187
34 | 84.3
133 | 424
135 | 576
125 | 595
235 | 1.43e+03
130 | 925


144 | 146
90 | 180
133 | 363
196 | 809
164 | 845
179 | 1.13e+03
161 | 1.09e+03


237 | 233
155 | 302
105 | 295
120 | 524
110 | 500
156 | 974
102 | 780


163 | 158
166 | 359
240 | 693
139 | 547
69 | 357
170 | 1.04e+03
90 | 611


145 | 145
161 | 300
100 | 326
177 | 660
154 | 790
66 | 330
180 | 1.26e+03


153 | 151
205 | 400
142 | 448
212 | 881
85 | 461
96 | 605
116 | 780


48 | 53.7
187 | 389
208 | 665
68 | 261
122 | 554
158 | 884
119 | 799


144 | 142
110 | 239
125 | 375
186 | 751
100 | 522
270 | 1.57e+03
92 | 595


178 | 170
155 | 303
105 | 322
100 | 400
160 | 800
105 | 656
139 | 994


90 | 84.3
88 | 162
88 | 270
219 | 858
201 | 989
178 | 1.13e+03
164 | 1.18e+03
